,month,day,day_of_week,binned_dep,binned_arr,binned_distance,carrier_encoded
2062,1,1,2,7,8,1,1
91028,1,5,6,7,8,1,8
70112,1,4,5,7,7,1,8
65684,1,4,5,7,7,1,1
99068,1,5,6,3,3,2,8
111180,1,6,0,6,7,1,0
2401,1,1,2,3,4,1,0
52708,1,3,4,4,6,2,0
31239,1,2,3,7,8,1,0
74296,1,4,5,6,6,1,8
76168,1,4,5,8,1,1,4
31690,1,2,3,7,8,1,0
110398,1,6,0,5,5,1,6
75448,1,4,5,3,4,1,0
129959,1,7,1,5,6,1,9
108196,1,6,0,3,4,1,9
91854,1,5,6,4,6,2,2
63889,1,3,4,6,7,1,4
4474,1,1,2,7,8,1,8
111796,1,6,0,4,5,1,3
22868,1,2,3,4,4,1,3
36068,1,2,3,3,4,1,0
56374,1,3,4,5,6,1,8
115221,1,6,0,8,2,2,2
14035,1,1,2,6,7,1,0
12978,1,1,2,4,5,1,0
32838,1,2,3,2,3,2,9
106142,1,5,6,5,6,1,8
62715,1,3,4,2,3,1,2
107640,1,6,0,7,8,1,9
55275,1,3,4,3,4,1,3
49311,1,3,4,3,3,1,9
66012,1,4,5,7,1,2,0
80378,1,4,5,2,3,1,1
2841,1,1,2,4,5,2,7
6804,1,1,2,5,6,1,0
115682,1,6,0,6,7,1,0
18008,1,1,2,2,3,1,8
118203,1,6,0,3,4,1,3
88960,1,5,6,4,5,1,8
95953,1,5,6,7,8,1,3
103857,1,5,6,7,7,1,6
141470,1,7,1,4,5,1,8
91992,1,5,6,3,4,1,0
26584,1,2,3,5,6,1,9
131115,1,7,1,5,5,2,9
43191,1,3,4,3,3,1,1
41079,1,2,3,3,5,2,8
116917,1,6,0,7,7,1,0
135363,1,7,1,3,4,1,3
102367,1,5,6,8,1,1,9
13125,1,1,2,4,5,2,2
86604,1,5,6,7,7,1,0
48693,1,3,4,5,6,1,3
128913,1,6,0,5,6,1,8
98491,1,5,6,3,4,1,7
60761,1,3,4,3,4,2,0
29555,1,2,3,2,3,1,4
26694,1,2,3,4,5,1,9
112193,1,6,0,3,4,1,3
17454,1,1,2,7,8,1,3
104879,1,5,6,3,4,1,0
66925,1,4,5,6,7,1,0
57100,1,3,4,5,5,1,9
33735,1,2,3,4,6,2,9
146305,1,7,1,6,6,1,0
54805,1,3,4,4,6,2,3
50965,1,3,4,4,5,2,5
78409,1,4,5,5,6,1,9
124969,1,6,0,6,8,2,8
134033,1,7,1,5,6,1,1
144957,1,7,1,4,5,1,8
76746,1,4,5,5,6,1,3
62510,1,3,4,7,8,2,2
131894,1,7,1,6,6,2,9
89103,1,5,6,5,5,1,8
64423,1,3,4,3,4,1,3
22987,1,2,3,4,5,1,3
136381,1,7,1,5,6,1,3
378,1,1,2,4,5,1,9
100872,1,5,6,8,1,1,9
18626,1,1,2,6,7,1,8
59112,1,3,4,5,6,1,8
143542,1,7,1,4,5,2,6
68458,1,4,5,7,3,2,8
59910,1,3,4,7,8,1,0
75206,1,4,5,5,7,2,6
126005,1,6,0,3,4,1,0
18875,1,1,2,3,4,1,8
52997,1,3,4,7,7,1,0
20977,1,2,3,3,4,2,1
7412,1,1,2,2,3,1,0
58680,1,3,4,2,3,2,9
126783,1,6,0,5,6,1,0
59635,1,3,4,5,5,1,0
27658,1,2,3,6,6,1,0
74199,1,4,5,4,4,1,8
13542,1,1,2,3,3,1,1
25857,1,2,3,4,4,1,9
127664,1,6,0,6,7,1,4
77940,1,4,5,6,6,1,9
101624,1,5,6,4,4,1,9
148540,1,7,1,4,5,1,0
95123,1,5,6,6,7,1,3
40662,1,2,3,5,6,1,8
99544,1,5,6,4,5,1,8
63806,1,3,4,7,8,1,4
145571,1,7,1,3,3,1,8
121642,1,6,0,7,8,1,0
7024,1,1,2,4,6,2,0
139327,1,7,1,4,5,1,3
26967,1,2,3,5,6,1,9
135107,1,7,1,7,7,2,3
48855,1,3,4,3,4,1,3
15240,1,1,2,5,6,1,0
23164,1,2,3,3,4,2,3
115346,1,6,0,3,4,1,2
23243,1,2,3,5,5,1,3
106678,1,5,6,5,5,1,3
5399,1,1,2,6,7,2,8
93774,1,5,6,2,4,2,3
80377,1,4,5,5,6,1,1
130178,1,7,1,3,3,1,9
80371,1,4,5,5,6,1,1
142066,1,7,1,6,6,2,9
33270,1,2,3,7,8,1,9
12622,1,1,2,6,7,1,0
78402,1,4,5,5,6,1,9
9364,1,1,2,5,6,1,3
138712,1,7,1,4,6,2,0
128698,1,6,0,7,8,1,3
131806,1,7,1,5,6,1,9
150233,1,7,1,4,4,1,8
104507,1,5,6,3,4,1,0
137678,1,7,1,3,4,1,0
24883,1,2,3,4,4,1,3
16089,1,1,2,3,4,1,1
17858,1,1,2,7,8,1,3
79645,1,4,5,7,7,1,0
141845,1,7,1,6,6,2,8
47023,1,3,4,5,6,2,8
41531,1,2,3,5,6,1,0
142297,1,7,1,7,7,1,9
128242,1,6,0,5,6,1,3
14994,1,1,2,5,5,1,3
70142,1,4,5,5,5,1,0
42482,1,3,4,7,7,1,8
104291,1,5,6,3,3,1,1
137171,1,7,1,6,7,1,3
140615,1,7,1,5,8,2,8
40561,1,2,3,8,8,1,8
45385,1,3,4,5,5,1,3
3478,1,1,2,4,5,1,3
87913,1,5,6,7,8,1,3
23082,1,2,3,5,6,1,3
56345,1,3,4,4,5,1,8
10162,1,1,2,4,4,1,9
125366,1,6,0,3,3,1,8
77293,1,4,5,5,5,1,0
48549,1,3,4,5,5,1,0
71395,1,4,5,2,3,1,0
133203,1,7,1,6,6,1,0
116273,1,6,0,2,3,2,1
60054,1,3,4,3,4,2,0
125698,1,6,0,4,5,1,8
48596,1,3,4,6,7,1,3
81028,1,4,5,7,7,1,0
99198,1,5,6,3,3,2,8
111720,1,6,0,5,6,1,7
118995,1,6,0,5,5,1,8
132944,1,7,1,6,6,1,9
3469,1,1,2,6,6,1,3
76785,1,4,5,7,8,2,3
17301,1,1,2,6,7,1,0
119749,1,6,0,5,6,1,8
85119,1,5,6,6,7,2,2
20332,1,2,3,8,3,2,2
144669,1,7,1,6,7,1,8
260,1,1,2,5,5,1,9
5170,1,1,2,4,5,2,8
9639,1,1,2,7,8,1,8
92280,1,5,6,7,1,2,0
31303,1,2,3,6,7,1,0
136939,1,7,1,7,8,1,3
116615,1,6,0,3,4,2,0
14755,1,1,2,4,5,1,0
66571,1,4,5,5,5,1,3
102448,1,5,6,7,8,2,9
133638,1,7,1,3,3,1,6
23657,1,2,3,4,5,2,3
121290,1,6,0,3,4,1,8
4468,1,1,2,6,7,1,8
141615,1,7,1,5,6,1,8
96751,1,5,6,7,8,1,0
23698,1,2,3,3,4,1,3
127557,1,6,0,2,4,1,4
49013,1,3,4,7,8,1,3
8766,1,1,2,3,5,2,3
84372,1,4,5,5,6,1,3
29245,1,2,3,7,8,1,4
73408,1,4,5,4,5,1,9
131048,1,7,1,3,4,1,9
116688,1,6,0,7,8,1,0
109677,1,6,0,3,3,1,9
32763,1,2,3,3,3,1,8
75786,1,4,5,6,6,1,0
82826,1,4,5,5,5,1,8
75752,1,4,5,2,3,1,0
90412,1,5,6,5,5,1,8
44260,1,3,4,6,7,1,3
148515,1,7,1,6,6,1,0
28561,1,2,3,3,4,1,0
104055,1,5,6,8,8,1,0
9656,1,1,2,5,6,2,8
90176,1,5,6,8,8,1,8
95855,1,5,6,3,4,1,0
7876,1,1,2,7,7,1,7
141240,1,7,1,3,5,2,8
144937,1,7,1,4,4,1,8
22655,1,2,3,8,1,1,3
59863,1,3,4,8,8,1,0
128749,1,6,0,6,6,1,8
85123,1,5,6,2,3,2,2
59570,1,3,4,5,6,1,0
68603,1,4,5,3,5,2,8
19735,1,2,3,5,6,1,5
26411,1,2,3,7,7,1,9
78633,1,4,5,7,8,1,9
41331,1,2,3,3,5,2,8
95724,1,5,6,6,7,1,0
13640,1,1,2,5,6,2,0
18762,1,1,2,4,5,1,8
112089,1,6,0,2,3,1,3
47804,1,3,4,8,1,2,8
67248,1,4,5,5,6,1,3
52593,1,3,4,8,1,1,0
146344,1,7,1,3,3,1,0
80497,1,4,5,5,6,2,0
123701,1,6,0,2,3,1,8
143995,1,7,1,6,7,1,0
140705,1,7,1,1,2,2,8
18607,1,1,2,6,7,1,8
135929,1,7,1,4,5,2,3
25400,1,2,3,8,8,1,8
100002,1,5,6,3,3,1,9
134143,1,7,1,4,5,1,1
125600,1,6,0,5,5,1,8
140873,1,7,1,5,6,1,8
107213,1,6,0,2,3,1,9
30811,1,2,3,3,4,1,0
60024,1,3,4,6,6,1,0
77802,1,4,5,6,7,1,9
62843,1,3,4,7,7,1,2
88171,1,5,6,7,7,1,3
120616,1,6,0,4,5,1,9
35637,1,2,3,5,7,2,0
13383,1,1,2,8,8,1,2
29434,1,2,3,4,6,2,4
128526,1,6,0,6,7,1,3
96817,1,5,6,7,8,1,0
131303,1,7,1,4,5,1,9
78767,1,4,5,5,6,2,5
72871,1,4,5,6,7,2,9
149028,1,7,1,5,5,1,3
90732,1,5,6,5,6,1,8
4113,1,1,2,3,3,1,8
55771,1,3,4,3,3,1,3
72989,1,4,5,4,6,2,9
118491,1,6,0,7,8,1,3
57455,1,3,4,8,8,1,9
99874,1,5,6,4,5,1,9
63256,1,3,4,7,7,1,0
20959,1,2,3,7,8,1,1
147957,1,7,1,3,5,2,0
31940,1,2,3,6,7,2,0
27972,1,2,3,2,3,1,2
64779,1,4,5,6,6,1,0
88472,1,5,6,6,7,1,3
40287,1,2,3,8,2,2,8
38248,1,2,3,5,5,1,3
34565,1,2,3,5,6,1,9
33212,1,2,3,5,6,2,9
42528,1,3,4,7,8,1,8
125448,1,6,0,6,7,1,8
46949,1,3,4,3,3,1,8
77532,1,4,5,5,6,1,3
40572,1,2,3,4,5,1,8
47618,1,3,4,3,3,1,8
68627,1,4,5,6,8,2,8
58395,1,3,4,3,3,1,9
20306,1,2,3,6,7,2,2
109466,1,6,0,4,4,1,9
127090,1,6,0,4,4,2,0
101156,1,5,6,4,4,1,9
90878,1,5,6,5,6,1,8
22803,1,2,3,5,6,1,3
60836,1,3,4,7,8,1,0
42490,1,3,4,3,4,1,8
53180,1,3,4,8,1,1,0
39262,1,2,3,3,4,1,8
59143,1,3,4,5,6,1,8
110712,1,6,0,4,5,1,1
81590,1,4,5,5,6,1,3
42492,1,3,4,6,7,1,8
94465,1,5,6,3,6,2,3
23568,1,2,3,6,6,1,3
67086,1,4,5,5,5,2,1
54837,1,3,4,8,8,1,3
129591,1,6,0,2,4,1,3
101845,1,5,6,8,1,1,9
90348,1,5,6,3,4,1,8
113330,1,6,0,5,6,1,3
125330,1,6,0,5,6,1,8
5131,1,1,2,7,8,1,8
109754,1,6,0,7,7,1,9
138455,1,7,1,6,7,1,0
43143,1,3,4,4,5,1,1
88605,1,5,6,4,5,1,3
16513,1,1,2,6,6,1,1
50127,1,3,4,4,5,1,9
19581,1,1,2,5,6,1,3
23299,1,2,3,6,8,2,3
13829,1,1,2,7,8,2,0
16307,1,1,2,4,7,2,1
147958,1,7,1,7,8,2,0
44821,1,3,4,5,6,1,1
111543,1,6,0,4,4,1,0
43605,1,3,4,3,4,1,0
143604,1,7,1,6,7,1,0
147119,1,7,1,6,7,2,1
46336,1,3,4,7,7,1,8
75566,1,4,5,5,6,1,0
40981,1,2,3,4,4,1,8
29807,1,2,3,8,1,1,0
140395,1,7,1,4,5,1,8
41293,1,2,3,4,4,1,8
70528,1,4,5,5,6,1,0
4272,1,1,2,3,4,2,8
126987,1,6,0,3,4,1,0
46020,1,3,4,3,4,1,8
4727,1,1,2,6,7,1,8
44071,1,3,4,2,2,2,7
117413,1,6,0,5,6,1,0
120462,1,6,0,3,3,1,9
23083,1,2,3,6,7,1,3
137074,1,7,1,6,7,1,3
50288,1,3,4,4,7,2,9
16672,1,1,2,7,1,2,0
22718,1,2,3,5,5,1,3
90969,1,5,6,3,3,1,8
145082,1,7,1,7,7,1,8
148380,1,7,1,6,7,1,0
138074,1,7,1,3,4,1,0
42789,1,3,4,6,6,1,6
60320,1,3,4,4,4,2,0
12436,1,1,2,8,1,1,9
104455,1,5,6,4,5,2,0
33943,1,2,3,7,8,1,9
28490,1,2,3,3,4,1,0
47775,1,3,4,4,5,1,8
129920,1,7,1,6,6,1,9
131850,1,7,1,8,8,1,9
57445,1,3,4,4,4,1,9
96954,1,5,6,2,3,1,0
95782,1,5,6,5,5,1,0
97908,1,5,6,4,5,1,0
9358,1,1,2,6,7,1,3
81343,1,4,5,4,7,2,3
59554,1,3,4,6,7,1,0
74966,1,4,5,5,6,1,2
90505,1,5,6,6,6,1,3
103448,1,5,6,5,6,1,0
146137,1,7,1,7,7,1,3
6330,1,1,2,3,4,1,0
146266,1,7,1,4,5,1,3
109130,1,6,0,3,4,1,9
84913,1,5,6,6,6,1,5
71610,1,4,5,5,5,2,0
139548,1,7,1,4,4,1,3
85508,1,5,6,7,8,1,0
9979,1,1,2,5,5,1,8
146641,1,7,1,4,6,2,2
53588,1,3,4,3,3,1,3
74098,1,4,5,4,4,1,8
139398,1,7,1,3,3,1,3
119279,1,6,0,6,7,2,8
141381,1,7,1,4,7,2,8
30912,1,2,3,4,5,1,0
119080,1,6,0,6,7,1,8
147731,1,7,1,5,6,2,0
100525,1,5,6,5,5,1,9
143140,1,7,1,7,1,2,2
141075,1,7,1,3,4,2,8
4795,1,1,2,6,6,1,8
141134,1,7,1,4,5,1,8
86279,1,5,6,6,7,1,1
67280,1,4,5,8,8,1,3
96015,1,5,6,4,4,1,3
100762,1,5,6,7,8,1,9
104633,1,5,6,7,8,1,0
146610,1,7,1,5,5,1,2
54856,1,3,4,5,6,2,3
18662,1,1,2,7,8,2,8
62967,1,3,4,5,5,2,0
103840,1,5,6,6,7,1,6
104746,1,5,6,4,7,2,0
93442,1,5,6,6,7,1,3
65683,1,4,5,3,3,1,1
48521,1,3,4,7,8,1,0
72116,1,4,5,6,7,1,7
135948,1,7,1,7,8,1,3
46624,1,3,4,6,6,1,8
5232,1,1,2,3,4,2,8
118258,1,6,0,5,6,1,3
85832,1,5,6,3,4,1,1
5352,1,1,2,6,7,1,8
17436,1,1,2,4,4,1,3
133149,1,7,1,5,6,1,0
11558,1,1,2,4,5,1,9
128181,1,6,0,6,7,1,3
54454,1,3,4,8,8,1,3
47727,1,3,4,3,4,1,8
38125,1,2,3,6,7,1,3
60027,1,3,4,6,1,2,0
131485,1,7,1,4,6,2,9
126307,1,6,0,2,3,1,2
96970,1,5,6,7,7,1,0
133146,1,7,1,5,6,1,0
59728,1,3,4,4,4,1,0
128034,1,6,0,5,6,2,3
148781,1,7,1,3,4,1,1
4068,1,1,2,3,3,1,3
59146,1,3,4,7,8,1,8
147694,1,7,1,4,5,1,0
37183,1,2,3,7,8,1,7
25426,1,2,3,4,5,1,8
133931,1,7,1,4,5,1,1
150041,1,7,1,3,4,1,8
126958,1,6,0,3,6,2,0
148292,1,7,1,3,3,1,0
93568,1,5,6,5,6,1,3
5241,1,1,2,2,3,1,8
105488,1,5,6,6,8,2,8
16212,1,1,2,2,4,2,1
71517,1,4,5,3,3,1,0
140555,1,7,1,5,6,2,8
18539,1,1,2,5,5,1,8
118213,1,6,0,6,6,1,3
48662,1,3,4,3,4,1,3
135808,1,7,1,2,3,1,3
54108,1,3,4,7,8,1,3
27756,1,2,3,7,8,1,0
59350,1,3,4,5,5,1,0
21744,1,2,3,2,4,2,0
53181,1,3,4,5,6,2,0
132419,1,7,1,7,8,1,9
60735,1,3,4,5,6,2,0
70460,1,4,5,6,6,1,0
5055,1,1,2,3,3,2,8
146769,1,7,1,7,8,1,2
146035,1,7,1,6,6,1,3
3242,1,1,2,6,6,1,0
112862,1,6,0,7,8,1,3
51099,1,3,4,4,4,1,0
74820,1,4,5,2,2,1,2
70138,1,4,5,5,6,1,0
81877,1,4,5,3,3,2,3
44759,1,3,4,8,8,1,1
99868,1,5,6,3,4,1,9
97048,1,5,6,5,5,1,0
34549,1,2,3,7,7,1,9
117138,1,6,0,5,5,1,0
78550,1,4,5,5,5,1,9
66160,1,4,5,6,7,1,0
10464,1,1,2,8,1,1,9
143636,1,7,1,7,8,1,0
31710,1,2,3,7,8,1,0
91995,1,5,6,7,7,1,0
150166,1,7,1,5,6,1,8
49906,1,3,4,4,6,2,9
61204,1,3,4,3,3,1,7
110547,1,6,0,5,6,1,0
104895,1,5,6,5,6,1,0
115094,1,6,0,3,3,1,0
129548,1,6,0,7,8,1,3
140732,1,7,1,3,5,2,8
10120,1,1,2,5,6,1,9
62947,1,3,4,6,1,2,0
2047,1,1,2,4,5,1,1
15299,1,1,2,7,7,1,0
92450,1,5,6,5,6,1,0
100902,1,5,6,8,1,2,9
94131,1,5,6,3,4,1,3
95223,1,5,6,4,5,1,3
38396,1,2,3,7,8,1,3
124285,1,6,0,6,7,1,8
57127,1,3,4,5,5,1,9
66466,1,4,5,3,4,1,7
27028,1,2,3,3,3,1,3
26252,1,2,3,3,6,2,9
98193,1,5,6,3,4,1,7
62620,1,3,4,3,4,1,2
121152,1,6,0,5,6,1,9
145919,1,7,1,4,5,1,3
46765,1,3,4,3,4,2,8
21648,1,2,3,5,6,2,0
33175,1,2,3,8,8,1,9
26210,1,2,3,6,7,1,9
137054,1,7,1,4,4,1,3
141572,1,7,1,3,5,2,8
12156,1,1,2,8,1,1,9
47504,1,3,4,3,3,1,8
34437,1,2,3,4,4,1,9
39171,1,2,3,4,5,1,8
56692,1,3,4,2,3,1,9
120894,1,6,0,5,6,1,9
112137,1,6,0,3,4,1,3
12172,1,1,2,4,5,1,9
20728,1,2,3,4,4,1,0
66784,1,4,5,5,5,1,0
53923,1,3,4,6,6,1,3
67272,1,4,5,6,7,1,3
27434,1,2,3,6,7,1,8
6409,1,1,2,4,5,1,0
15774,1,1,2,4,4,1,0
22475,1,2,3,4,5,1,0
47357,1,3,4,3,3,1,8
69026,1,4,5,5,7,1,8
71247,1,4,5,3,5,2,0
1343,1,1,2,4,5,2,0
71377,1,4,5,7,8,1,0
79060,1,4,5,6,7,1,0
21197,1,2,3,3,4,1,1
57025,1,3,4,8,8,1,9
78818,1,4,5,3,4,2,5
147439,1,7,1,6,8,2,1
33769,1,2,3,4,5,1,9
56640,1,3,4,7,7,1,8
79058,1,4,5,5,7,1,0
103063,1,5,6,5,5,1,9
104621,1,5,6,7,1,1,0
97288,1,5,6,4,6,2,0
138686,1,7,1,6,7,2,0
11589,1,1,2,6,7,1,9
69829,1,4,5,5,6,1,3
72049,1,4,5,3,5,2,7
46761,1,3,4,4,5,2,8
68956,1,4,5,8,1,1,8
68534,1,4,5,4,4,1,8
16103,1,1,2,7,8,2,1
131159,1,7,1,5,6,1,9
52425,1,3,4,3,5,2,1
38758,1,2,3,5,5,1,3
26406,1,2,3,2,3,1,9
90590,1,5,6,5,5,1,3
65396,1,4,5,6,7,1,0
15404,1,1,2,8,3,2,2
226,1,1,2,7,8,1,9
71962,1,4,5,2,3,1,7
145029,1,7,1,4,5,1,8
102007,1,5,6,3,4,2,9
116571,1,6,0,6,7,2,0
141998,1,7,1,4,5,1,8
56135,1,3,4,3,3,1,8
84402,1,4,5,4,4,1,3
130279,1,7,1,5,6,1,9
63313,1,3,4,1,4,2,0
31278,1,2,3,6,7,1,0
73116,1,4,5,4,5,1,9
56931,1,3,4,2,3,1,9
135114,1,7,1,8,8,1,3
2071,1,1,2,4,4,1,1
